;Cystoseira.sp;Cymodocea.nodosa;Padina.pavonica;Halopteris.scoparia
TN1_AB;0;0;0-25;0-25
TN1_C;0;0;0-25;0-25
TN2_AB;0;0;26-50;26-50
TN2_C;0;0;26-50;26-50
TN3_AB;0;0;26-50;0
TN3_C;0;0;26-50;0
TR1_AB;>75;0-25;0-25;0-25
TR1_C;>75;0-25;0-25;0-25
TR2_AB;26-50;0-25;0-25;0-25
TR2_C;26-50;0-25;0-25;0-25
TR3_AB;>75;0;0-25;0-25
TR3_C;>75;0;0-25;0-25
FR1_AB;>75;0-25;0-25;0
FR1_C;>75;0-25;0-25;0
FR2_AB;51-75;0-25;0-25;0
FR2_C;51-75;0-25;0-25;0
FR3_AB;51-75;0-25;0-25;0
FR3_C;51-75;0-25;0-25;0
FM1_AB;26-50;51-75;0-25;0
FM1_C;26-50;51-75;0-25;0
FM2_AB;26-50;>75;0-25;0
FM2_C;26-50;>75;0-25;0
FM3_AB;26-50;51-75;0-25;0
FM3_C;26-50;51-75;0-25;0
